Month,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,448 ,348 ,392 ,417 ,468 ,376 ,367 ,345 ,383 ,409 ,331 
2,413 ,355 ,368 ,340 ,367 ,323 ,338 ,345 ,354 ,315 ,343 
3,395 ,392 ,377 ,394 ,369 ,421 ,353 ,326 ,392 ,329 ,368 
4,403 ,393 ,397 ,377 ,394 ,386 ,331 ,383 ,382 ,371 ,375 
5,404 ,407 ,378 ,377 ,394 ,377 ,365 ,381 ,419 ,373 ,363 
6,419 ,371 ,380 ,431 ,377 ,342 ,346 ,404 ,394 ,357 ,378 
7,393 ,389 ,398 ,400 ,390 ,367 ,369 ,359 ,413 ,360 ,389 
8,379 ,396 ,392 ,367 ,401 ,350 ,330 ,338 ,368 ,353 ,329 
9,399 ,354 ,389 ,379 ,400 ,387 ,373 ,339 ,365 ,363 ,362 
10,370 ,401 ,382 ,343 ,367 ,352 ,382 ,320 ,375 ,372 ,383 
11,395 ,381 ,360 ,410 ,350 ,365 ,318 ,317 ,315 ,369 ,362 
12,353 ,371 ,392 ,372 ,342 ,351 ,302 ,330 ,392 ,325 ,354 
