Month,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
1,1478 ,1462 ,1359 ,1238 ,1225 ,1251 ,1187 ,1206 ,1344 ,1454 ,1388 
2,1469 ,1450 ,1359 ,1206 ,1229 ,1271 ,1181 ,1172 ,1364 ,1459 ,1384 
3,1451 ,1449 ,1330 ,1191 ,1236 ,1266 ,1180 ,1177 ,1387 ,1439 ,1439 
4,1459 ,1429 ,1317 ,1163 ,1251 ,1245 ,1180 ,1187 ,1407 ,1425 ,1406 
5,1467 ,1412 ,1294 ,1186 ,1243 ,1229 ,1185 ,1193 ,1425 ,1422 ,1460 
6,1468 ,1389 ,1256 ,1184 ,1248 ,1261 ,1170 ,1181 ,1444 ,1408 ,1494 
7,1469 ,1377 ,1250 ,1196 ,1262 ,1247 ,1157 ,1186 ,1446 ,1417 ,1547 
8,1446 ,1384 ,1252 ,1203 ,1288 ,1243 ,1160 ,1196 ,1448 ,1413 ,1584 
9,1441 ,1381 ,1277 ,1208 ,1265 ,1219 ,1153 ,1259 ,1443 ,1403 ,1608 
10,1430 ,1374 ,1255 ,1215 ,1261 ,1199 ,1162 ,1295 ,1429 ,1395 ,1667 
11,1431 ,1364 ,1241 ,1231 ,1247 ,1195 ,1182 ,1328 ,1455 ,1373 ,1718 
12,1455 ,1379 ,1223 ,1230 ,1220 ,1181 ,1181 ,1314 ,1463 ,1382 ,1764 
